Время:0:00:00.122528, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.07 0.64 0.56 1/763 23386
Время:0:00:00.150366, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.07 0.64 0.56 2/763 23424
Время:0:00:00.008499, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.07 0.64 0.56 1/763 23428
Время:0:00:00.304123, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.07 0.64 0.56 1/763 23474
Время:0:00:00.012649, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.07 0.64 0.56 1/763 23480
Время:0:00:00.102743, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.07 0.64 0.56 1/763 23502
Время:0:00:00.121074, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.39 0.32 0.36 1/766 24360
Время:0:00:00.129096, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.39 0.32 0.36 1/766 24390
Время:0:00:00.010073, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.39 0.32 0.36 1/766 24394
Время:0:00:00.067607, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.39 0.32 0.36 1/766 24400
Время:0:00:00.133317, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.39 0.32 0.36 1/766 24428
Время:0:00:00.147134, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.39 0.32 0.36 1/766 24466
Время:0:00:00.007445, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.39 0.32 0.36 2/766 24470
Время:0:00:00.354498, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.39 0.32 0.36 1/766 24516
Время:0:00:00.011388, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.39 0.32 0.36 1/766 24522
Время:0:00:00.107145, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.39 0.32 0.36 6/766 24544
Время:0:00:00.123906, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.61 0.38 0.38 3/799 24724
Время:0:00:00.161933, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.61 0.38 0.38 2/799 24786
Время:0:00:00.009683, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.61 0.38 0.38 4/799 24790
Время:0:00:00.075599, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.61 0.38 0.38 2/800 24798
Время:0:00:00.133196, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.61 0.38 0.38 1/803 24829
Время:0:00:00.163613, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.61 0.38 0.38 1/803 24867
Время:0:00:00.009604, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.61 0.38 0.38 1/803 24871
Время:0:00:00.311653, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.61 0.38 0.38 1/803 24917
Время:0:00:00.014611, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.61 0.38 0.38 2/803 24923
Время:0:00:00.104249, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.61 0.38 0.38 2/803 24945
Время:0:00:00.118039, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.26 0.32 0.36 1/804 25188
Время:0:00:00.132105, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.26 0.32 0.36 1/804 25218
Время:0:00:00.017039, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.26 0.32 0.36 1/804 25222
Время:0:00:00.073379, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.26 0.32 0.36 1/804 25228
Время:0:00:00.135449, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.26 0.32 0.36 1/804 25256
Время:0:00:00.155373, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.26 0.32 0.36 1/804 25294
Время:0:00:00.008300, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.26 0.32 0.36 2/804 25298
Время:0:00:00.310278, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.26 0.32 0.36 1/804 25344
Время:0:00:00.020269, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.26 0.32 0.36 1/804 25350
Время:0:00:00.116245, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.26 0.32 0.36 1/804 25372
Время:0:00:00.112718, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.63 0.48 0.40 2/801 25659
Время:0:00:00.129827, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.63 0.48 0.40 1/801 25689
Время:0:00:00.010387, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.63 0.48 0.40 2/801 25693
Время:0:00:00.069820, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.63 0.48 0.40 1/801 25699
Время:0:00:00.131118, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.63 0.48 0.40 1/801 25727
Время:0:00:00.157254, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.63 0.48 0.40 1/801 25765
Время:0:00:00.009916, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.63 0.48 0.40 1/801 25769
Время:0:00:00.320861, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.63 0.48 0.40 1/799 25815
Время:0:00:00.010696, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.63 0.48 0.40 1/799 25821
Время:0:00:00.110161, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.63 0.48 0.40 1/799 25843
Время:0:00:00.114947, количество файлов:5, размер файла:256kB, статистика загрузки процессора:2.04 0.79 0.50 3/806 26282
Время:0:00:00.132975, количество файлов:5, размер файла:256kB, статистика загрузки процессора:2.04 0.79 0.50 1/806 26317
Время:0:00:00.018123, количество файлов:5, размер файла:256kB, статистика загрузки процессора:2.04 0.79 0.50 1/806 26321
Время:0:00:00.077752, количество файлов:5, размер файла:256kB, статистика загрузки процессора:2.04 0.79 0.50 1/806 26327
Время:0:00:00.127888, количество файлов:5, размер файла:256kB, статистика загрузки процессора:2.04 0.79 0.50 1/806 26355
Время:0:00:00.163737, количество файлов:5, размер файла:256kB, статистика загрузки процессора:2.04 0.79 0.50 4/806 26393
Время:0:00:00.006851, количество файлов:5, размер файла:256kB, статистика загрузки процессора:2.04 0.79 0.50 1/806 26397
Время:0:00:00.319280, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.95 0.79 0.51 1/806 26443
Время:0:00:00.012111, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.95 0.79 0.51 1/806 26449
Время:0:00:00.112072, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.95 0.79 0.51 1/806 26471
Время:0:00:00.113203, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.15 0.74 0.50 1/808 26910
Время:0:00:00.121303, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.15 0.74 0.50 2/808 26947
Время:0:00:00.010563, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.15 0.74 0.50 1/808 26951
Время:0:00:00.067259, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.15 0.74 0.50 1/808 26957
Время:0:00:00.132742, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.15 0.74 0.50 1/808 26985
Время:0:00:00.158784, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.15 0.74 0.50 2/808 27023
Время:0:00:00.008157, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.15 0.74 0.50 3/808 27027
Время:0:00:00.305641, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.15 0.74 0.50 1/808 27073
Время:0:00:00.015530, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.15 0.74 0.50 1/808 27079
Время:0:00:00.106158, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.15 0.74 0.50 2/808 27101
Время:0:00:00.112038, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.50 0.65 0.49 7/812 27542
Время:0:00:00.121559, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.50 0.65 0.49 1/812 27578
Время:0:00:00.009784, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.50 0.65 0.49 1/812 27582
Время:0:00:00.074052, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.50 0.65 0.49 1/812 27588
Время:0:00:00.138951, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.50 0.65 0.49 1/812 27616
Время:0:00:00.156030, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.50 0.65 0.49 1/812 27654
Время:0:00:00.007752, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.50 0.65 0.49 1/812 27658
Время:0:00:00.311155, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.50 0.65 0.49 1/812 27704
Время:0:00:00.015433, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.50 0.65 0.49 1/812 27710
Время:0:00:00.107777, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.50 0.65 0.49 2/812 27732
Время:0:00:00.109727, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.55 0.65 0.49 1/814 28170
Время:0:00:00.122787, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.55 0.65 0.49 1/814 28200
Время:0:00:00.012036, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.55 0.65 0.49 6/814 28204
Время:0:00:00.070686, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.55 0.65 0.49 1/814 28210
Время:0:00:00.127140, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.55 0.65 0.49 2/814 28238
Время:0:00:00.157066, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.55 0.65 0.49 1/814 28276
Время:0:00:00.011482, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.55 0.65 0.49 1/814 28280
Время:0:00:00.314396, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.55 0.65 0.49 1/814 28326
Время:0:00:00.010208, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.55 0.65 0.49 2/814 28332
Время:0:00:00.106420, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.55 0.65 0.49 1/814 28354
Время:0:00:00.117011, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.22 0.35 0.40 1/800 28885
Время:0:00:00.130086, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.22 0.35 0.40 1/800 28915
Время:0:00:00.009974, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.22 0.35 0.40 1/800 28919
Время:0:00:00.071585, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.22 0.35 0.40 1/800 28925
Время:0:00:00.132934, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.22 0.35 0.40 3/800 28953
Время:0:00:00.156081, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.22 0.35 0.40 2/800 28991
Время:0:00:00.013729, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.22 0.35 0.40 6/800 28995
Время:0:00:00.314619, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.22 0.35 0.40 1/800 29041
Время:0:00:00.016185, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.22 0.35 0.40 1/800 29047
Время:0:00:00.110560, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.22 0.35 0.40 8/800 29069
Время:0:00:00.112258, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.34 0.38 0.41 1/801 29532
Время:0:00:00.123081, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.34 0.38 0.41 1/801 29562
Время:0:00:00.013101, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.34 0.38 0.41 1/801 29566
Время:0:00:00.073779, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.34 0.38 0.41 1/801 29572
Время:0:00:00.130131, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.34 0.38 0.41 1/801 29600
Время:0:00:00.149536, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.34 0.38 0.41 1/801 29638
Время:0:00:00.007523, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.34 0.38 0.41 4/801 29642
Время:0:00:00.323059, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.34 0.38 0.41 1/801 29688
Время:0:00:00.010929, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.34 0.38 0.41 7/801 29694
Время:0:00:00.107379, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.34 0.38 0.41 1/801 29716
Время:0:00:00.111838, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.53 0.46 1/804 30161
Время:0:00:00.124264, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.53 0.46 1/804 30191
Время:0:00:00.009763, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.53 0.46 1/804 30195
Время:0:00:00.072496, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.53 0.46 1/804 30201
Время:0:00:00.137367, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.53 0.46 1/804 30229
Время:0:00:00.148052, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.53 0.46 1/804 30267
Время:0:00:00.007764, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.53 0.46 2/804 30271
Время:0:00:00.333688, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.53 0.46 1/804 30317
Время:0:00:00.014168, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.53 0.46 1/804 30323
Время:0:00:00.108005, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.70 0.53 0.46 1/804 30345
Время:0:00:00.112092, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.36 0.44 0.43 2/805 30793
Время:0:00:00.128419, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.36 0.44 0.43 1/805 30823
Время:0:00:00.010013, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.36 0.44 0.43 2/805 30827
Время:0:00:00.066795, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.36 0.44 0.43 1/805 30833
Время:0:00:00.128546, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.36 0.44 0.43 1/805 30861
Время:0:00:00.164435, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.36 0.44 0.43 1/805 30899
Время:0:00:00.008052, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.36 0.44 0.43 2/805 30903
Время:0:00:00.320009, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.36 0.44 0.43 1/805 30949
Время:0:00:00.019426, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.36 0.44 0.43 3/805 30955
Время:0:00:00.108393, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.36 0.44 0.43 1/805 30977
Время:0:00:00.113333, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.57 0.48 0.45 1/808 31415
Время:0:00:00.132168, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.57 0.48 0.45 1/808 31445
Время:0:00:00.014732, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.57 0.48 0.45 1/808 31449
Время:0:00:00.074201, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.57 0.48 0.45 1/808 31455
Время:0:00:00.132059, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.57 0.48 0.45 1/808 31483
Время:0:00:00.154289, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.57 0.48 0.45 1/808 31521
Время:0:00:00.008079, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.57 0.48 0.45 1/808 31525
Время:0:00:00.319219, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.57 0.48 0.45 1/808 31571
Время:0:00:00.017110, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.57 0.48 0.45 1/808 31577
Время:0:00:00.106089, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.57 0.48 0.45 1/808 31599
Время:0:00:00.116080, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.23 0.40 0.42 3/809 32041
Время:0:00:00.127241, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.23 0.40 0.42 1/809 32071
Время:0:00:00.010234, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.23 0.40 0.42 1/809 32075
Время:0:00:00.070251, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.23 0.40 0.42 1/809 32081
Время:0:00:00.133070, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.23 0.40 0.42 1/809 32109
Время:0:00:00.167611, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.23 0.40 0.42 1/809 32147
Время:0:00:00.007835, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.23 0.40 0.42 1/809 32151
Время:0:00:00.314238, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.23 0.40 0.42 2/809 32197
Время:0:00:00.014739, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.23 0.40 0.42 2/809 32203
Время:0:00:00.118325, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.23 0.40 0.42 1/809 32225
Время:0:00:00.101429, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.52 0.45 4/843 32888
Время:0:00:00.136910, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.52 0.45 2/844 32925
Время:0:00:00.012865, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.52 0.45 1/844 32929
Время:0:00:00.078979, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.52 0.45 5/844 32935
Время:0:00:00.130283, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.52 0.45 1/844 32963
Время:0:00:00.159572, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.52 0.45 3/844 33001
Время:0:00:00.009488, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.52 0.45 2/844 33005
Время:0:00:00.329325, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.52 0.45 1/844 33051
Время:0:00:00.015701, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.52 0.45 1/844 33057
Время:0:00:00.112550, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.52 0.45 2/844 33079
Время:0:00:00.102349, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.65 0.50 1/808 33543
Время:0:00:00.129179, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.65 0.50 2/808 33573
Время:0:00:00.009251, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.65 0.50 1/808 33577
Время:0:00:00.067712, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.65 0.50 1/808 33583
Время:0:00:00.127372, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.65 0.50 1/808 33611
Время:0:00:00.158858, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.65 0.50 1/808 33649
Время:0:00:00.007597, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.65 0.50 1/808 33653
Время:0:00:00.309798, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.65 0.50 8/808 33699
Время:0:00:00.014020, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.65 0.50 1/808 33705
Время:0:00:00.107637, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.06 0.65 0.50 1/808 33727
Время:0:00:00.115751, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.44 0.85 0.58 4/813 34160
Время:0:00:00.128228, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.44 0.85 0.58 1/813 34193
Время:0:00:00.009406, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.44 0.85 0.58 2/813 34197
Время:0:00:00.067916, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.44 0.85 0.58 2/813 34203
Время:0:00:00.126845, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.44 0.85 0.58 1/813 34231
Время:0:00:00.156697, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.44 0.85 0.58 1/813 34269
Время:0:00:00.009120, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.44 0.85 0.58 8/813 34273
Время:0:00:00.314253, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.44 0.85 0.58 1/813 34319
Время:0:00:00.010167, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.44 0.85 0.58 1/813 34325
Время:0:00:00.100497, количество файлов:5, размер файла:256kB, статистика загрузки процессора:1.44 0.85 0.58 1/813 34347
Время:0:00:00.130503, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.47 0.67 0.62 6/797 35231
Время:0:00:00.125462, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.47 0.67 0.62 9/797 35261
Время:0:00:00.010122, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.47 0.67 0.62 1/797 35265
Время:0:00:00.067922, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.47 0.67 0.62 6/797 35271
Время:0:00:00.129247, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.47 0.67 0.62 7/797 35299
Время:0:00:00.162574, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.47 0.67 0.62 3/797 35337
Время:0:00:00.013368, количество файлов:5, размер файла:256kB, статистика загрузки процессора:0.47 0.67 0.62 1/797 35341
